,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.546,0.571,0.616,0.122,0.1,0.41,0.167,0.167,0.378,0.415,0.513,0.556,0.102,0.361,0.554
1,0.537,0.467,0.513,0.018,0.127,0.375,0.194,0.237,0.314,0.427,0.534,0.522,0.079,0.378,0.505
2,0.369,0.317,0.335,0.099,0.056,0.374,0.419,0.195,0.187,0.316,0.266,0.197,-0.027,0.313,0.192
3,0.611,0.529,0.61,0.027,0.142,0.49,0.338,0.376,0.37,0.472,0.575,0.572,0.119,0.416,0.571
4,0.439,0.429,0.439,0.054,0.118,0.296,0.199,0.109,0.237,0.335,0.349,0.347,-0.072,0.32,0.369
5,0.004,0.155,0.132,0.08,0.001,-0.041,-0.226,-0.181,0.028,0.002,0.084,0.159,0.085,-0.016,0.154
6,0.452,0.441,0.472,0.071,0.119,0.28,0.109,0.107,0.272,0.331,0.397,0.397,-0.057,0.309,0.411
7,0.541,0.495,0.572,0.057,0.118,0.399,0.189,0.255,0.327,0.406,0.492,0.482,0.002,0.374,0.488
8,0.315,0.374,0.376,0.1,0.086,0.143,-0.009,-0.039,0.256,0.223,0.305,0.285,-0.108,0.201,0.291
9,0.579,0.496,0.568,0.042,0.141,0.459,0.319,0.349,0.324,0.475,0.536,0.536,0.144,0.428,0.527
10,-0.068,0.055,0.065,0.085,-0.118,-0.046,-0.403,-0.202,0.135,-0.095,0.001,0.158,0.184,-0.124,0.148
11,0.53,0.468,0.537,0.074,0.117,0.387,0.231,0.248,0.293,0.405,0.464,0.455,0.003,0.374,0.454
